sample_id,temperature_C,humidity_pct,power_kW,airflow_cfm,water_flow_L,smoke_ppm,water_leak,motion_detected,door_open,hour_of_day,cooling_mode,PUE,WUE,alert_flag,temperature_C_raw,humidity_pct_raw,power_kW_raw,airflow_cfm_raw,water_flow_L_raw,smoke_ppm_raw,temperature_C_delta,humidity_pct_delta,power_kW_delta,airflow_cfm_delta,water_flow_L_delta,smoke_ppm_delta,temperature_C_rollstd,humidity_pct_rollstd,power_kW_rollstd,airflow_cfm_rollstd,water_flow_L_rollstd,smoke_ppm_rollstd,hour_sin,hour_cos,flag_temp_high,flag_smoke_warn,flag_smoke_crit,flag_humidity_low,flag_humidity_high,flag_power_high,flag_airflow_low,flag_night_motion,label_encoded
348,0.3136258150071831,0.844666053569376,0.4729546638874411,0.7223197813862338,0.5873046537401756,0.09911399543138963,0,1,0,9,evaporative,1.277,2.455,1,35.98,57.17,88.06,1244.6,60.99,71.0,0.1865,0.006,0.1137,0.1253,0.1046,0.0123,0.1425,0.1256,0.103,0.0935,0.2332,0.125,0.7071,-0.7071,0,0,0,0,1,0,0,0,2
349,0.4848049508232952,0.7938556155879988,0.6043564356435642,0.812721221751182,0.6613659240882148,0.11717816624771812,0,0,0,5,evaporative,1.22,2.184,1,33.78,46.66,89.05,1138.3,44.6,70.8,0.1712,-0.0508,0.1314,0.0904,0.0741,0.0181,0.1728,0.0963,0.1471,0.0936,0.256,0.0192,0.9659,0.2588,0,0,0,0,0,0,0,0,2
350,0.5161896342137253,0.7867283595815613,0.6076915059927046,0.795460865864056,0.6552449898831736,0.10551769619696641,0,1,1,23,security_alert,1.582,0.722,2,20.54,54.04,59.3,753.0,7.44,50.4,0.0314,-0.0071,0.0033,-0.0173,-0.0061,-0.0117,0.1897,0.0765,0.1317,0.1011,0.2178,0.0115,-0.2588,0.9659,0,0,0,0,0,0,0,1,4
351,0.34799425350867486,0.7778192895735143,0.4503595622720167,0.700985877059786,0.5621905217028805,0.08401273093943248,0,0,0,10,air,1.425,0.944,0,18.13,51.59,69.09,846.4,8.79,34.1,-0.1682,-0.0089,-0.1573,-0.0945,-0.0931,-0.0215,0.1553,0.031,0.1066,0.0861,0.0736,0.0137,0.5,-0.866,0,0,0,0,0,0,0,0,0
352,0.3625815007183113,0.6188354983331419,0.4116310578426263,0.7212491692964121,0.21065367916950514,0.09118105269194379,0,0,0,22,air,1.434,0.756,0,22.09,52.67,52.73,850.1,10.55,56.5,0.0146,-0.159,-0.0387,0.0203,-0.3515,0.0072,0.0896,0.0854,0.0909,0.05,0.1865,0.0128,-0.5,0.866,0,0,0,0,0,0,0,0,0
353,0.22079787821858754,0.5835440855270722,0.26480458572173005,0.6004266780865292,0.10419822879279317,0.07072744129144487,0,0,0,23,air,1.42,0.667,0,23.15,51.03,52.84,781.9,8.64,49.6,-0.1418,-0.0353,-0.1468,-0.1208,-0.1065,-0.0205,0.1183,0.1022,0.1439,0.0848,0.2625,0.0182,-0.2588,0.9659,0,0,0,0,0,0,0,0,0
354,0.07558846281357057,0.4097310035636281,0.10680562793121395,0.5242826572592071,0.03778304236865919,0.050178252267579104,0,0,1,3,humidity_warn,1.628,0.558,1,20.64,16.42,51.15,846.7,11.94,49.3,-0.1452,-0.1738,-0.158,-0.0761,-0.0664,-0.0205,0.1654,0.1558,0.1904,0.1065,0.278,0.021,0.7071,0.7071,0,0,0,0,0,0,0,0,3
355,0.09271742734003752,0.5863605012070354,0.12002084418968195,0.5230292577394157,0.3875507112281522,0.0542880900723523,1,0,0,16,emergency,1.75,5.564,2,22.09,84.77,62.47,748.2,179.44,54.7,0.0171,0.1766,0.0132,-0.0013,0.3498,0.0041,0.1358,0.1309,0.1595,0.0943,0.2143,0.0179,-0.866,-0.5,0,0,0,0,0,0,0,0,1
356,0.10962537296938879,0.5864754569490747,0.04981761334028123,0.5154827481306722,0.38631025612347614,0.06260334330526537,0,0,0,12,air,1.481,0.961,0,19.66,51.61,52.25,817.5,8.18,42.8,0.0169,0.0001,-0.0702,-0.0075,-0.0012,0.0083,0.1206,0.0836,0.1468,0.0878,0.1599,0.0162,0.0,-1.0,0,0,0,0,0,0,0,0,0
357,0.09216488009724833,0.5692895735141972,0.07053673788431447,0.5174934098603373,0.39094671126882297,0.06461047339596857,0,0,0,17,air,1.593,0.67,0,20.51,49.68,57.7,857.8,12.83,58.6,-0.0175,-0.0172,0.0207,0.002,0.0046,0.002,0.0586,0.0771,0.0844,0.0361,0.1754,0.0082,-0.9659,-0.2588,0,0,0,0,0,0,0,0,0
358,0.04320919438611992,0.51847913553282,0.11814486711829075,0.5045155023324982,0.38515114233713943,0.05409693482561864,0,1,1,5,security_alert,1.512,0.906,2,18.72,42.19,64.26,732.2,5.79,38.6,-0.049,-0.0508,0.0476,-0.013,-0.0058,-0.0105,0.0251,0.0749,0.0313,0.0079,0.1564,0.0062,0.9659,0.2588,0,0,0,0,0,0,0,1,4
359,0.048071610122665254,0.7227554891366825,0.12289734236581529,0.4917464947246243,0.3817754776260537,0.04970036415074505,0,0,0,17,air,1.536,0.819,0,21.08,51.96,52.29,797.8,10.28,44.7,0.0049,0.2043,0.0048,-0.0128,-0.0034,-0.0044,0.0297,0.0758,0.0338,0.0124,0.0034,0.0063,-0.9659,-0.2588,0,0,0,0,0,0,0,0,0
360,0.030721626699082627,0.5163524543050926,0.06495049504950479,0.4873073714253634,0.02944555723886895,0.042054154281399664,0,1,1,2,security_alert,1.591,0.782,2,20.52,48.86,48.57,731.2,6.18,46.7,-0.0173,-0.2064,-0.0579,-0.0044,-0.3523,-0.0076,0.0342,0.0842,0.0331,0.0136,0.1595,0.0093,0.5,0.866,0,0,0,0,0,0,0,1,4
361,0.29472869930379053,0.40501781814001614,0.25000521104742046,0.320553010313128,0.01667497025958048,0.39808080132279433,0,0,0,8,emergency,2.256,0.273,2,43.55,32.24,96.64,178.9,1.9,415.3,0.264,-0.1113,0.1851,-0.1668,-0.0128,0.356,0.1103,0.1154,0.0746,0.0812,0.1988,0.1547,0.866,-0.5,0,0,0,0,0,0,0,0,1
362,0.2843408111393524,0.40053454420048284,0.27368421052631575,0.28143650029964085,0.014295736698152539,0.39186825580395124,0,0,0,1,air,1.433,0.996,0,19.57,48.9,63.38,708.0,11.66,52.1,-0.0104,-0.0045,0.0237,-0.0391,-0.0024,-0.0062,0.1365,0.1307,0.0908,0.1071,0.1991,0.1898,0.2588,0.9659,0,0,0,0,0,0,0,0,0
363,0.3377168747927948,0.620157489366594,0.27335070349140156,0.3145732501041236,0.38248721416152354,0.4133732210614851,1,0,0,8,emergency,1.848,5.916,2,23.55,80.4,64.18,859.1,186.85,61.1,0.0534,0.2196,-0.0003,0.0331,0.3682,0.0215,0.1473,0.1395,0.0968,0.1019,0.1984,0.1947,0.866,-0.5,0,1,0,0,0,0,0,0,1
364,0.3330754779533649,0.6323427980227614,0.2599687337154768,0.3070789654753714,0.37831847159662846,0.4314373918778136,0,0,0,23,air,1.501,0.911,0,20.66,54.08,49.08,769.1,8.23,63.6,-0.0046,0.0122,-0.0134,-0.0075,-0.0042,0.0181,0.1281,0.1118,0.0897,0.0825,0.1974,0.1647,-0.2588,0.9659,0,1,0,0,0,0,0,0,0
365,0.3177146646038236,0.6238935509828716,0.3147472642001041,0.31760229894361935,0.3796809386788137,0.44625192349967036,0,1,1,1,security_alert,1.698,0.878,2,19.13,47.39,61.71,771.5,6.85,62.2,-0.0154,-0.0084,0.0548,0.0105,0.0014,0.0148,0.0234,0.1221,0.0247,0.0158,0.1997,0.0227,0.2588,0.9659,0,1,0,0,0,0,0,1,4
366,0.16200685158581063,0.6757385906426028,0.2876915059927043,0.5835580095493377,0.4684446523167025,0.10924522350827229,0,0,0,3,evaporative,1.333,2.14,1,29.46,41.26,90.15,1197.4,45.55,62.7,-0.1557,0.0518,-0.0271,0.266,0.0888,-0.337,0.0729,0.1085,0.0208,0.1253,0.1777,0.1408,0.7071,0.7071,0,0,0,0,0,0,0,0,2
367,0.23218035142004645,0.79701689849408,0.28414799374674304,0.5664021036221941,0.9086842024992121,0.11201697458590995,1,0,0,12,emergency,1.974,6.708,2,25.92,70.0,62.53,642.3,228.15,55.0,0.0702,0.1213,-0.0035,-0.0172,0.4402,0.0028,0.077,0.0745,0.0203,0.1436,0.2297,0.1755,0.0,-1.0,0,0,0,0,0,0,0,0,1
368,0.3886617305779645,0.5289975859294171,0.4100052110474204,0.3720729530745499,0.5412451322304807,0.5192732277519186,0,0,0,22,emergency,2.277,0.385,2,37.71,33.77,94.37,114.9,6.16,487.2,0.1565,-0.268,0.1259,-0.1943,-0.3674,0.4073,0.0895,0.0973,0.0585,0.1354,0.2195,0.1973,-0.5,0.866,0,1,0,0,0,0,0,0,1
369,0.4911039893910929,0.5217553741809404,0.6447941636268888,0.5046460647824765,0.6071722707445781,0.5504315329695012,0,0,0,15,evaporative,1.251,1.901,1,29.93,52.82,105.4,1276.8,40.65,96.2,0.1024,-0.0072,0.2348,0.1326,0.0659,0.0312,0.1291,0.114,0.1522,0.1185,0.2018,0.2195,-0.7071,-0.7071,0,1,0,0,0,0,0,0,2
370,0.5000552547242789,0.5599206805379928,0.6405836373110994,0.5104952625415026,0.614859025327653,0.5383887524252822,0,0,0,9,air,1.564,0.623,0,19.94,54.03,60.7,793.9,10.63,49.6,0.009,0.0382,-0.0042,0.0058,0.0077,-0.012,0.1525,0.1182,0.18,0.0831,0.1676,0.2333,0.7071,-0.7071,0,1,0,0,0,0,0,0,0
371,0.38357829594430326,0.6248131969191864,0.5357790515893694,0.4324711424344936,0.5443564376569634,0.5262503942576964,0,0,0,23,air,1.439,0.895,0,18.92,52.55,65.01,898.6,10.88,50.0,-0.1165,0.0649,-0.1048,-0.078,-0.0705,-0.0121,0.1082,0.114,0.1554,0.0756,0.1523,0.1889,-0.2588,0.9659,0,1,0,0,0,0,0,0,0
372,0.32478726931152613,0.3570237958386022,0.5360708702449191,0.48070091145646343,0.10820428872100946,0.5031206094029266,0,0,0,18,humidity_warn,1.576,0.787,1,20.6,23.41,62.6,827.0,13.67,30.8,-0.0588,-0.2678,0.0003,0.0482,-0.4362,-0.0231,0.0755,0.099,0.0963,0.058,0.2124,0.0181,-1.0,-0.0,0,1,0,0,0,0,0,0,3
373,0.1644380594540833,0.3061558799862054,0.3867847837415317,0.6557851568773118,0.11796524692173949,0.09615108910701828,0,0,0,23,humidity_warn,1.51,0.583,1,23.2,24.92,58.56,785.4,10.96,61.4,-0.1603,-0.0509,-0.1493,0.1751,0.0098,-0.407,0.1379,0.1363,0.1051,0.0835,0.262,0.1946,-0.2588,0.9659,0,0,0,0,0,0,0,0,3
374,0.08199801082992586,0.3159845959305667,0.20552371026576322,0.5416996880863071,0.059643521672377506,0.04148068854119874,0,0,0,1,air,1.535,0.943,0,22.47,54.53,61.92,839.9,11.97,39.0,-0.0824,0.0098,-0.1813,-0.1141,-0.0583,-0.0547,0.1682,0.1487,0.169,0.0838,0.2674,0.2496,0.2588,0.9659,0,0,0,0,0,0,0,0,0
375,0.1914023649021992,0.27046212208299814,0.33855132881709205,0.6132217981843987,0.14850891195819055,0.0649927838894358,0,0,0,3,evaporative,1.349,2.913,1,29.84,46.11,92.61,1067.8,54.33,74.2,0.1094,-0.0455,0.133,0.0715,0.0889,0.0235,0.1227,0.1431,0.1403,0.0918,0.1975,0.2458,0.7071,0.7071,0,0,0,0,0,0,0,0,2
376,0.2150513868935795,0.22252557765260383,0.31016154247003636,0.5866915083488159,0.15737511565718704,0.05438366769571909,0,0,0,20,air,1.444,0.886,0,21.06,44.21,58.2,797.0,15.24,38.9,0.0236,-0.0479,-0.0284,-0.0265,0.0089,-0.0106,0.088,0.0507,0.1209,0.0673,0.0387,0.1973,-0.866,0.5,0,0,0,1,0,0,0,0,0
377,0.2022322908608687,0.3378261869180368,0.2683897863470557,0.581364560389703,0.15532124736911673,0.07569747770651938,0,0,0,22,air,1.431,0.66,0,19.44,43.47,52.58,806.6,12.66,53.1,-0.0128,0.1153,-0.0418,-0.0053,-0.0021,0.0213,0.0531,0.0452,0.069,0.0422,0.0412,0.0208,-0.5,0.866,0,0,0,0,0,0,0,0,0
378,0.1755995137584263,0.5127888263018738,0.2743512245961437,0.5738702757609507,0.1546298461632317,0.06451489577260172,0,0,0,5,air,1.477,0.864,0,20.79,55.36,59.99,756.7,10.62,49.7,-0.0266,0.175,0.006,-0.0075,-0.0007,-0.0112,0.053,0.1104,0.0501,0.0258,0.0423,0.0129,0.9659,0.2588,0,0,0,0,0,0,0,0,0
379,0.140789037462703,0.4777273249798828,0.2708077123501822,0.5827224098694769,0.1530843611147828,0.06690433635677215,0,0,0,8,air,1.462,0.791,0,19.32,48.43,61.07,873.8,11.21,41.5,-0.0348,-0.0351,-0.0035,0.0089,-0.0015,0.0024,0.0287,0.127,0.0309,0.0151,0.0033,0.0076,0.866,-0.5,0,0,0,0,0,0,0,0,0
380,0.03326334401591313,0.5135935164961491,0.1268994267847836,0.5078056760719504,0.065154395989873,0.05361904670878456,0,0,0,3,air,1.463,0.835,0,20.11,52.35,58.09,780.9,11.09,60.3,-0.1075,0.0359,-0.1439,-0.0749,-0.0879,-0.0133,0.0729,0.1286,0.071,0.0331,0.0403,0.0092,0.7071,0.7071,0,0,0,0,0,0,0,0,0
381,0.017460492872140465,0.5336532934820097,0.13031787389265226,0.533970391047594,0.056796575530497925,0.0516119166180814,0,0,0,4,air,1.599,0.78,0,19.63,47.7,59.02,897.2,11.13,36.8,-0.0158,0.0201,0.0034,0.0262,-0.0084,-0.002,0.0839,0.0793,0.0781,0.0335,0.0512,0.0099,0.866,0.5,0,0,0,0,0,0,0,0,0
382,0.07061553762846717,0.4528394068283712,0.1940594059405938,0.5573671820836984,0.05405130603654258,0.042532042398233744,0,0,0,11,humidity_warn,1.509,0.721,1,24.25,29.41,67.87,896.2,11.31,43.6,0.0532,-0.0808,0.0637,0.0234,-0.0027,-0.0091,0.0684,0.0323,0.0721,0.0305,0.0523,0.01,0.2588,-0.9659,0,0,0,0,0,0,0,0,3
383,0.05868051718421907,0.3847281296700771,0.17554976550286594,0.5585683566234984,0.05224146170349056,0.03928240320376197,0,0,0,22,air,1.475,0.921,0,19.71,43.51,55.55,761.3,9.73,46.3,-0.0119,-0.0681,-0.0185,0.0012,-0.0018,-0.0032,0.0476,0.0582,0.0586,0.0284,0.0432,0.0108,-0.5,0.866,0,0,0,0,0,0,0,0,0
384,0.2150513868935795,0.4213990113806185,0.3409692548202188,0.5916528814479899,0.14332340291405274,0.08449061905626656,0,0,0,22,evaporative,1.213,2.15,1,33.47,54.81,100.75,1000.5,56.0,88.8,0.1564,0.0367,0.1654,0.0331,0.0911,0.0452,0.0789,0.0622,0.0873,0.0312,0.0389,0.0179,-0.5,0.866,0,0,0,0,0,0,0,0,2
385,0.21306221681953796,0.38886653638349244,0.3316727462219906,0.6227528570328117,0.1415135585810007,0.07378592523918301,0,1,0,4,security_alert,1.67,0.853,2,19.93,46.69,55.86,900.0,10.2,49.1,-0.002,-0.0325,-0.0093,0.0311,-0.0018,-0.0107,0.0926,0.061,0.0958,0.0346,0.0483,0.0199,0.866,0.5,0,0,0,0,0,0,0,1,4
386,0.32069841971488566,0.38122197953787795,0.5484523189161019,0.6953978042007162,0.23658122439019433,0.12281724602636032,0,0,0,16,evaporative,1.23,1.896,1,29.37,46.37,111.02,1175.4,57.88,88.1,0.1076,-0.0076,0.2168,0.0726,0.0951,0.049,0.1103,0.0308,0.1496,0.0572,0.0765,0.0342,-0.866,-0.5,0,0,0,0,0,0,0,0,2
387,0.4068957895900098,0.4792792274974136,0.7528921313183949,0.7582766801102471,0.35363138148061535,0.17433358502107485,0,0,0,8,evaporative,1.329,2.64,1,32.05,46.47,116.91,1137.0,68.87,97.5,0.0862,0.0981,0.2044,0.0629,0.1171,0.0515,0.1309,0.0413,0.224,0.0809,0.1144,0.0516,0.866,-0.5,0,0,0,0,0,1,0,0,2
388,0.5118797657199692,0.5321588688354983,0.9675039082855652,0.8600370536233038,0.4449370113166109,0.21352041060146995,0,0,0,3,evaporative,1.336,2.322,1,29.21,52.71,107.03,1151.0,54.63,87.3,0.105,0.0529,0.2146,0.1018,0.0913,0.0392,0.1284,0.0641,0.2736,0.1079,0.1333,0.0595,0.7071,0.7071,0,0,0,0,0,1,0,0,2
389,0.36213946292407995,0.5049718358432005,0.784616988014591,0.8034251753127298,0.3473070939797257,0.17318665354067306,0,0,0,9,air,1.538,0.693,0,19.92,50.08,56.88,783.7,7.99,46.6,-0.1497,-0.0272,-0.1829,-0.0566,-0.0976,-0.0403,0.11,0.0686,0.2437,0.0924,0.1174,0.0541,0.7071,-0.7071,0,0,0,0,0,1,0,0,0
390,0.35351972593656766,0.49060236808828606,0.779155810317874,0.7797933718666644,0.3346991896371161,0.17595840461831078,0,1,1,23,security_alert,1.555,0.897,2,19.15,44.19,54.55,809.5,4.0,52.0,-0.0086,-0.0144,-0.0055,-0.0236,-0.0126,0.0028,0.0742,0.0574,0.1488,0.0604,0.074,0.0323,-0.2588,0.9659,0,0,0,0,0,1,0,1,4
391,0.27671565918886065,0.3514484423496955,0.5958936946326212,0.6728888378244641,0.23743530823275819,0.12845632580500252,0,0,0,21,humidity_warn,1.6,0.717,1,22.42,22.16,67.06,766.0,10.05,38.4,-0.0768,-0.1392,-0.1833,-0.1069,-0.0973,-0.0475,0.0863,0.0701,0.132,0.0685,0.0737,0.0302,-0.7071,0.7071,0,0,0,0,0,0,0,0,3
392,0.26058127969941425,0.35949534429244756,0.48483585200625323,0.6877729571219858,0.17872721172128397,0.11956760683188852,0,0,0,2,evaporative,1.304,1.997,1,30.59,47.87,90.27,1194.0,40.0,88.2,-0.0161,0.008,-0.1111,0.0149,-0.0587,-0.0089,0.0996,0.0856,0.1868,0.0792,0.1033,0.0384,0.5,0.866,0,0,0,0,0,0,0,0,2
393,0.18499281688584368,0.3633463616507646,0.2648879624804583,0.5611796056230637,0.08396457585586317,0.09481300237988285,0,1,0,22,security_alert,1.637,0.876,2,22.37,53.38,54.27,666.2,8.03,61.4,-0.0756,0.0039,-0.2199,-0.1266,-0.0948,-0.0248,0.0729,0.0768,0.218,0.0965,0.1101,0.0353,-0.5,0.866,0,0,0,0,0,0,0,1,4
394,0.22223450104983966,0.3314461432348548,0.23483064095883255,0.5351454530973984,0.0924037376335777,0.09070316457510971,0,0,0,9,air,1.49,0.976,0,23.29,44.53,49.67,684.0,12.14,42.3,0.0372,-0.0319,-0.0301,-0.026,0.0084,-0.0041,0.0634,0.0634,0.2286,0.0998,0.1049,0.0342,0.7071,-0.7071,0,0,0,0,0,0,0,0,0
395,0.2979334733119683,0.2965570755259226,0.3937050547159977,0.6315527661613466,0.2015231161859056,0.11459757041681404,0,0,0,17,evaporative,1.276,2.012,1,26.0,38.12,92.66,1178.7,57.66,77.0,0.0757,-0.0349,0.1589,0.0964,0.1091,0.0239,0.045,0.0275,0.1508,0.0674,0.0679,0.0162,-0.9659,-0.2588,0,0,0,0,0,0,0,0,2
396,0.40280693999336936,0.4674387860673641,0.5167691505992702,0.6984007405502163,0.29663145265426893,0.1556003708411787,0,0,0,14,evaporative,1.27,2.833,1,31.91,51.89,96.58,1022.0,56.82,81.3,0.1049,0.1709,0.1231,0.0668,0.0951,0.041,0.0836,0.0639,0.1267,0.0733,0.0874,0.0258,-0.5,-0.866,0,0,0,0,0,0,0,0,2
397,0.47231738313625815,0.4229509138981493,0.49075560187597667,0.7144338094075467,0.3463716688188224,0.15932789815248452,0,0,0,20,evaporative,1.313,1.825,1,36.88,40.13,84.03,1255.4,64.46,92.1,0.0695,-0.0445,-0.026,0.016,0.0497,0.0037,0.1207,0.069,0.128,0.0799,0.118,0.0328,-0.866,0.5,0,0,0,0,0,0,0,0,2
398,0.7727925737650567,0.40352339349350497,0.7022407503908283,0.5693528149917028,0.34653435145550127,0.45580968583635206,0,0,0,11,emergency,2.281,0.272,2,49.56,50.0,105.0,110.6,8.11,371.6,0.3005,-0.0194,0.2115,-0.1451,0.0002,0.2965,0.2125,0.0694,0.1715,0.0782,0.1093,0.1485,0.2588,-0.9659,1,1,0,0,0,0,0,0,1
399,0.775665819427561,0.41507644556845613,0.7845336112558623,0.5861692585489028,0.3443178005307521,0.4522733137717798,0,0,0,3,air,1.577,0.958,0,23.55,46.54,69.41,748.4,11.05,38.6,0.0029,0.0116,0.0823,0.0168,-0.0022,-0.0035,0.2189,0.0633,0.1608,0.065,0.0627,0.1712,0.7071,0.7071,1,1,0,0,0,1,0,0,0
400,0.7383136258150074,0.4703701574893666,0.6372902553413233,0.48474834740578954,0.2561031407916544,0.439083601747159,0,0,0,21,air,1.515,0.695,0,22.62,47.74,57.34,790.3,14.28,63.2,-0.0374,0.0553,-0.1472,-0.1014,-0.0882,-0.0132,0.1801,0.031,0.1238,0.0957,0.0406,0.1598,-0.7071,0.7071,1,1,0,0,0,0,0,0,0
401,0.6447121228865069,0.44795378779170014,0.47733194372068777,0.43106106797472843,0.16150318756291243,0.42111500855419726,0,0,0,13,air,1.422,0.907,0,23.44,47.99,58.21,816.4,10.3,62.5,-0.0936,-0.0224,-0.16,-0.0537,-0.0946,-0.018,0.128,0.027,0.1334,0.1082,0.0821,0.1272,-0.2588,-0.9659,0,1,0,0,0,0,0,0,0
402,0.6905735440380152,0.40771927807793995,0.5459093277748825,0.14343199067261858,0.052831186261451335,0.7225668326531393,0,1,0,14,emergency,2.514,0.2,2,41.03,33.13,100.48,153.9,11.02,407.5,0.0459,-0.0402,0.0686,-0.2876,-0.1087,0.3015,0.0563,0.029,0.122,0.1789,0.1259,0.1262,-0.5,-0.866,0,1,0,0,0,0,1,0,1
403,0.3820311636644933,0.4124899413725718,0.36510682647212067,0.3034493293659758,0.05228213236266027,0.4252248463589704,0,0,0,15,air,1.423,0.769,0,21.64,50.83,61.63,723.4,7.84,60.5,-0.3085,0.0048,-0.1808,0.16,-0.0005,-0.2973,0.1557,0.0273,0.1592,0.1713,0.1279,0.1294,-0.7071,-0.7071,0,1,0,0,0,0,0,0,0
404,0.36490219913802635,0.39674100471318563,0.31041167274622206,0.34663938781878456,0.057101605474270734,0.43220201286474813,0,0,0,10,air,1.598,0.651,0,22.0,43.8,56.29,913.8,13.42,45.9,-0.0171,-0.0157,-0.0547,0.0432,0.0048,0.007,0.1773,0.0309,0.1325,0.1316,0.0911,0.1313,0.5,-0.866,0,1,0,0,0,0,0,0,0
405,0.49596640512763845,0.43605586849063127,0.5317352787910368,0.45458842146081113,0.1591646246606542,0.45265562426524697,0,0,0,7,evaporative,1.287,2.099,1,34.48,54.58,110.43,1203.7,64.47,84.6,0.1311,0.0393,0.2213,0.1079,0.1021,0.0205,0.1485,0.0211,0.104,0.1238,0.0582,0.1302,0.9659,-0.2588,0,1,0,0,0,0,0,0,2
406,0.42756105647032827,0.4816358202092197,0.5931839499739444,0.4696031032083111,0.15768014560095983,0.43411356533208445,0,0,0,16,air,1.546,0.747,0,17.25,55.92,72.95,873.9,9.57,43.1,-0.0684,0.0456,0.0614,0.015,-0.0015,-0.0185,0.1322,0.0338,0.1237,0.1322,0.0572,0.1285,-0.866,-0.5,0,1,0,0,0,0,0,0,0
407,0.35959774560724944,0.5097424991378321,0.5856800416883792,0.7474922217420427,0.23430366747669065,0.10112112552209276,0,0,0,23,evaporative,1.275,2.595,1,34.88,38.02,98.68,1218.1,48.7,59.1,-0.068,0.0281,-0.0075,0.2779,0.0766,-0.333,0.057,0.0474,0.1309,0.1732,0.0772,0.1501,-0.2588,0.9659,0,0,0,0,0,0,0,0,2
408,0.36877002983755114,0.5200885159213704,0.5997290255341323,0.7607834791498297,0.23761832619902187,0.0956732009901842,0,1,0,7,air,1.501,0.839,0,22.47,52.63,65.0,774.3,9.47,54.8,0.0092,0.0103,0.014,0.0133,0.0033,-0.0054,0.0586,0.0518,0.1225,0.1872,0.0737,0.1871,0.9659,-0.2588,0,0,0,0,0,0,0,0,0
409,0.49850812244446896,0.5954420048281412,0.7708598228243875,0.8512893694747602,0.32656505780317435,0.12702266145450028,0,0,0,8,evaporative,1.219,2.316,1,33.74,56.91,97.34,1260.4,57.16,78.7,0.1297,0.0754,0.1711,0.0905,0.0889,0.0313,0.0666,0.0584,0.0905,0.1822,0.0697,0.1842,0.866,-0.5,0,0,0,0,0,1,0,0,2
410,0.35517736766493524,0.5542303713070469,0.5401980198019798,0.7096291112483469,0.20715600248091023,0.1015990136389269,0,1,1,23,security_alert,1.62,0.777,2,21.51,47.41,55.1,661.2,5.75,58.0,-0.1433,-0.0412,-0.2307,-0.1417,-0.1194,-0.0254,0.0614,0.0439,0.0886,0.1429,0.0615,0.1471,-0.2588,0.9659,0,0,0,0,0,0,0,1,4
411,0.4060117140015471,0.5485400620761007,0.4509431995831159,0.6781113358235945,0.20502079287450056,0.09777590870425415,0,0,0,8,air,1.416,0.932,0,21.85,54.93,51.54,753.2,8.52,39.1,0.0508,-0.0057,-0.0893,-0.0315,-0.0021,-0.0038,0.0599,0.0336,0.1169,0.0655,0.0495,0.0127,0.866,-0.5,0,0,0,0,0,0,0,0,0
412,0.3742955022654435,0.6438383722266929,0.4391870766023971,0.6544534198875337,0.23340891297495706,0.12730939432460078,0,0,0,3,evaporative,1.207,1.806,1,32.01,54.6,95.86,1127.5,62.66,90.0,-0.0317,0.0953,-0.0118,-0.0237,0.0284,0.0295,0.0578,0.0481,0.135,0.0782,0.0496,0.0159,0.7071,0.7071,0,0,0,0,0,0,0,0,2
413,0.3538512542822412,0.47571559949419484,0.41554976550286593,0.6991841152500861,0.22926050573964676,0.11717816624771812,0,0,0,12,humidity_warn,1.518,0.639,1,20.62,23.38,59.33,945.6,7.43,44.2,-0.0204,-0.1681,-0.0236,0.0447,-0.0041,-0.0101,0.0602,0.0622,0.1462,0.0772,0.0499,0.0139,0.0,-1.0,0,0,0,0,0,0,0,0,3
414,0.29086086860426574,0.43605586849063127,0.4338926524231368,0.6960506164506076,0.21925552358389852,0.12233935790952624,0,0,0,9,evaporative,1.211,2.412,1,28.04,50.01,101.74,1248.4,52.24,84.1,-0.063,-0.0397,0.0183,-0.0031,-0.01,0.0052,0.0421,0.0801,0.0488,0.0217,0.0127,0.013,0.7071,-0.7071,0,0,0,0,0,0,0,0,2
415,0.3002541717316829,0.690108058397517,0.5270661803022405,0.7387184251035034,0.5125926528454211,0.13457329370047885,1,0,0,15,emergency,1.797,5.763,2,22.36,91.61,77.45,824.6,150.0,70.8,0.0094,0.2541,0.0932,0.0427,0.2933,0.0122,0.049,0.1079,0.0432,0.031,0.1305,0.0139,-0.7071,-0.7071,0,0,0,0,0,0,0,0,1
416,0.30124875676870366,0.4915794918956202,0.5525377800937987,0.7798717093366515,0.522495958353245,0.13772735527158383,0,0,0,1,humidity_warn,1.522,0.665,1,21.94,20.39,57.65,910.8,13.39,42.4,0.001,-0.1985,0.0255,0.0412,0.0099,0.0032,0.0374,0.1122,0.0617,0.0475,0.1591,0.0085,0.2588,0.9659,0,0,0,0,0,0,0,0,3
417,0.18322466570891804,0.4457121508219337,0.36127149557060956,0.6968601036404728,0.41189210074122273,0.06852915595400808,0,0,0,0,air,1.53,0.912,0,21.33,46.62,49.98,809.6,8.27,17.6,-0.118,-0.0459,-0.1913,-0.083,-0.1106,-0.0692,0.0625,0.1043,0.0798,0.0369,0.1479,0.0279,0.0,1.0,0,0,0,0,0,0,0,0,0
418,0.17681511769256275,0.5799229796528338,0.3449296508598225,0.6589447681667858,0.40721497493670633,0.05964043698089405,0,0,0,20,air,1.483,0.983,0,20.04,46.73,55.41,800.4,5.13,34.9,-0.0064,0.1342,-0.0163,-0.0379,-0.0047,-0.0089,0.0645,0.1067,0.0941,0.0464,0.1219,0.0375,-0.866,0.5,0,0,0,0,0,0,0,0,0
